Nr;SPD;;CDU;;FDP;;DIE LINKE;;GRÜNE;;CSU;;NPD;;REP;;FAMILIE;;Die Tierschutzpartei;;PBC;;MLPD;;BüSo;;BP;;PSG;;Volksabstimmung;;ZENTRUM;;ADM;;CM;;DKP;;DVU;;DIE VIOLETTEN;;FWD;;ödp;;PIRATEN;;RRP;;RENTNER;;Freie Union
1;52139;41793;61793;51068;15292;24187;11918;13481;16399;21967;;;1302;1240;;;;;;;;;;47;;;;;;;;;369;;;;;;;;;159;;;;;;;;3385;;;;1821;
2;36642;32239;56751;47947;15184;22605;8208;8836;12840;14927;;;1231;1126;;;;;;;;;;53;;;;;;;;;;;;;;;;;;194;;;;;;;;2233;;;;1293;
3;37277;31282;49779;43480;16037;21970;8896;9808;10665;12899;;;1603;1512;;;;;;;;;;44;;;;;;;;;;;;;;;;;;142;;;;;;;;2549;;;;1604;
4;47610;39253;58876;49789;14317;23442;8729;9821;14790;18751;;;1344;1220;;;;;;;;;;55;;;;;;;;;;;;;;;;;;136;;;;;;;;2985;;;;1540;
5;54398;42369;42733;36397;12188;19156;11817;13430;18699;24659;;;1392;1275;;;;;;;;;;80;;;;;;;;;;;;;;;;;;139;;;;;;;;4267;;;;1448;
6;41683;35557;48136;40110;12515;19772;7871;8936;12187;15701;;;1363;1315;;;;;;;;;;42;;;;;;;;;;;;;;;;;;131;;;;;;;;2281;;;;1095;
7;54950;45540;70458;57203;17018;28640;11794;13412;16143;20978;;;1912;1743;;;;;;;;;;56;;;;;;;;;;;;;;;;;;193;;;;;;;;3659;;;;1571;
8;54065;44445;70290;58225;20084;31407;12527;14280;16633;21245;;;1797;1687;;;;;;;;;;58;;;;;;;;;;;;;;;;;;233;;;;;;;;3598;;;;1814;
9;43765;36329;49363;42193;14397;22701;8235;9342;10411;13651;;;1270;1192;;;;;;;;;;43;;;;;;;;;;;;;;;;;;132;;;;;;;;2062;;;;1178;
10;53073;45354;70874;59075;19742;30714;12351;13855;18761;22240;;;2330;2126;;;;;;;;;;48;;;;;;;;;;;;;;;;;;204;553;;;;;;;3248;;;;1445;
