2 Nordfriesland – Dithmarschen-Nord;Albertsen, S;433
3 Steinburg – Dithmarschen-Süd;Peter, J;715
4 Rendsburg-Eckernförde;Thiesen, H;948
5 Kiel;von Wildenradt, P;814
6 Plön – Neumünster;Schepke, F;924
7 Pinneberg;Hoffmann, Rolf;529
8 Segeberg – Stormarn-Nord;Strub, N;783
8 Segeberg – Stormarn-Nord;Schepke, M;442
9 Ostholstein;Janssen, J;433
12 Wismar – Nordwestmecklenburg – Parchim;Kind, L;618
14 Rostock;Rusin, H;565
14 Rostock;Radloff, G;479
15 Stralsund – Nordvorpommern – Rügen;Adomeit, M;1322
15 Stralsund – Nordvorpommern – Rügen;Wilke, M;479
16 Greifswald – Demmin – Ostvorpommern;Wiest, S;1478
16 Greifswald – Demmin – Ostvorpommern;van Raemdonck, J;657
17 Bad Doberan – Güstrow – Müritz;Lüder, K;647
18 Neubrandenburg – Mecklenburg-Strelitz – Uecker-Randow;Waldow, M;1138
18 Neubrandenburg – Mecklenburg-Strelitz – Uecker-Randow;Münz, V;505
20 Hamburg-Altona;Saß, R;954
21 Hamburg-Eimsbüttel;Scheffler, M;431
30 Cuxhaven – Stade I;Didlap, C;847
31 Rotenburg I – Stade II;Nagel, E;1295
40 Stadt Osnabrück;Stöckel, V;658
41 Nienburg II – Schaumburg;Coscia, L;567
43 Stadt Hannover II;Weiland, G;417
46 Gifhorn – Peine;Neumann, U;388
48 Hannover-Land II;Böttcher, J;502
51 Braunschweig;Thomas, F;800
51 Braunschweig;Dauter, H;294
54 Göttingen;Kurnaz, B;361
55 Bremen I;Hövener, J;709
55 Bremen I;Könnecke, W;348
56 Bremen II – Bremerhaven;Tangeten, M;423
58 Uckermark – Barnim I;Münz, S;781
59 Oberhavel – Havelland II;Frank, H;1008
60 Märkisch-Oderland – Barnim II;Weßlau, D;2280
60 Märkisch-Oderland – Barnim II;Sommerau, B;566
61 Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;Sommer, L;862
61 Brandenburg an der Havel – Potsdam-Mittelmark I – Havelland III – Teltow-Fläming I;Rettig, H;776
65 Cottbus – Spree-Neiße;Rätzel, R;1045
66 Elbe-Elster – Oberspreewald-Lausitz;Brückner, A;587
67 Altmark;Siegmund, A;3672
67 Altmark;Bresch, H;257
67 Altmark;Dettmer, W;274
68 Börde – Jerichower Land;Lehmann, U;733
70 Magdeburg;Godau, E;851
71 Dessau – Wittenberg;Fitzek, P;878
72 Anhalt;Gahler, W;1132
