Wahltermin;Kandidatennummer;Titel;Nachname;Vorname;Jahrgang;Partei;Wahlkreis;Bundesland;Listenplatz
;;;Aae;Per Lennart;1940;NPD;158;;
;;;Abele;Sebastian Tobias;1987;SPD;;Bayern;50
;;;Abolhassanzadeh Talischi;Roya;1959;DIE LINKE;;Nordrhein-Westfalen;30
;;;Acker;Klaus;1958;NPD;;Rheinland-Pfalz;10
;;;Acker;Reinmund;1949;;216;;
;;;Ackermann;Jens;1975;FDP;68;Sachsen-Anhalt;2
;;;Ackermann;Dr. Lothar Matthias;1953;FDP;;Rheinland-Pfalz;31
;;;Adam;Michael;1984;SPD;231;Bayern;43
;;;Adler;Beate;1960;GRÜNE;30;Niedersachsen;11
;;;Adomeit;Michael Harald;1957;;15;;
;;;Aengenvoort;Manfred August;1944;NPD;;Nordrhein-Westfalen;15
;;;Ahlers;Werner;1939;VIOLETTEN;;Bayern;13
;;;Ahlgrimm;Jonas;1986;DIE LINKE;174;;
;;;Ahr-Wiehe;Kornelia;1964;FDP;;Hessen;38
;;;Ahrendt;Christian;1963;FDP;13;Mecklenburg-Vorpommern;1
;;;Ahrens;Dirk;1977;PIRATEN;;Rheinland-Pfalz;3
;;;Aigner;Alois;1962;ödp;230;Bayern;33
;;;Aigner;Ilse;1964;CSU;224;Bayern;4
;;;Aita;Pasquale;1974;;184;;
;;;Aken van;Jan;1961;DIE LINKE;;Hamburg;1
;;;Akgün;Dr. Lale;1953;SPD;95;Nordrhein-Westfalen;29
;;;Albanesi;Stefan;1972;DIE LINKE;256;;
;;;Albertsen;Sönke;1960;;2;;
;;;Albrecht;Frank;1967;FDP;116;Nordrhein-Westfalen;43
;;;Albrecht;Klaus;1948;DIE LINKE;168;;
;;;Albrecht;Richard Hermann;1963;BüSo;;Bayern;14
;;;Aldag;Wilfried;1952;NPD;43;;
;;;Allenstein;Michael;1963;DVU;;Hessen;3
;;;Alpers;Agnes;1961;DIE LINKE;;Bremen;1
;;;Altmaier;Peter;1958;CDU;297;Saarland;1
;;;Altmayer;Fernande;1961;FDP;;Saarland;7
;;;Amann;Gregor;1962;SPD;182;Hessen;13
;;;Ambrosius;Gerhard;1940;NPD;;Saarland;2
;;;Andreae;Kerstin;1968;GRÜNE;281;Baden-Württemberg;1
;;;Andrejewski;Michael;1959;NPD;16;;
;;;Andresen;Volker;1945;SPD;;Schleswig-Holstein;22
;;;Andromidas;Andrea;1949;BüSo;;Hessen;8
;;;Angne;Christian;1945;FDP;;Rheinland-Pfalz;21
;;;Anslinger;Winfried;1951;GRÜNE;299;Saarland;5
;;;Ansorge;Daniel Richard;1988;ödp;257;Bayern;13
;;;Anspach-Papa;Kornelia;1961;CDU;;Saarland;9
;;;Aparicio de Eckelmann;Marta;1952;DIE LINKE;258;Baden-Württemberg;7
;;;Apel;Rainer;1948;BüSo;182;Hessen;10
;;;Appel;Detlef;1955;NPD;;Brandenburg;8
;;;Appelt;Johannes Peter;1943;BüSo;;Bayern;15
;;;Appelt;Ron;1988;NPD;224;;
;;;Appenrodt;Corinna;1974;SPD;;Thüringen;9
;;;Araz;Feryal;1985;MLPD;;Nordrhein-Westfalen;7
;;;Arendt;Dirk;1976;NPD;;Mecklenburg-Vorpommern;5
;;;Armstroff;Dörthe;1958;NPD;209;Rheinland-Pfalz;1
;;;Arndt;Holger-Michael;1971;GRÜNE;108;;
;;;Arndt-Brauer;Ingrid;1961;SPD;125;Nordrhein-Westfalen;10
;;;Arnold;Karin;1947;RRP;246;;
