1;Flensburg – Schleswig;13;226944
2;Nordfriesland – Dithmarschen Nord;13;186177
3;Steinburg – Dithmarschen Süd;13;176731
4;Rendsburg-Eckernförde;13;198903
5;Kiel;13;205243
6;Plön – Neumünster;13;174746
7;Pinneberg;13;235610
8;Segeberg – Stormarn-Mitte;13;244240
9;Ostholstein – Stormarn-Nord;13;180022
10;Herzogtum Lauenburg – Stormarn-Süd;13;241257
11;Lübeck;13;181923
12;Schwerin – Ludwigslust-Parchim I – Nordwestmecklenburg I;15;256862
13;Ludwigslust-Parchim II – Nordwestmecklenburg II – Landkreis Rostock I;15;182776
14;Rostock – Landkreis Rostock II;15;189772
15;Vorpommern-Rügen – Vorpommern-Greifswald I;15;211824
16;Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ;15;218797
17;Mecklenburgische Seenplatte II – Landkreis Rostock III;15;221887
18;Hamburg-Mitte;8;190987
19;Hamburg-Altona;8;232784
20;Hamburg-Eimsbüttel;8;190034
21;Hamburg-Nord;8;220409
22;Hamburg-Wandsbek;8;227719
23;Hamburg-Bergedorf – Harburg;8;187640
24;Aurich – Emden;3;194958
25;Unterems;3;228051
26;Friesland – Wilhelmshaven – Wittmund;3;216300
27;Oldenburg – Ammerland;3;193097
28;Delmenhorst – Wesermarsch – Oldenburg-Land;3;193643
29;Cuxhaven – Stade II;3;167867
30;Stade I – Rotenburg II;3;194856
31;Mittelems;3;179069
32;Cloppenburg – Vechta;3;197532
33;Diepholz – Nienburg I;3;194231
34;Osterholz – Verden;3;195948
35;Rotenburg I – Heidekreis;3;181122
36;Harburg;3;193157
37;Lüchow-Dannenberg – Lüneburg;3;232941
38;Osnabrück-Land;3;215285
39;Stadt Osnabrück;3;217256
40;Nienburg II – Schaumburg;3;191980
41;Stadt Hannover I;3;240409
42;Stadt Hannover II;3;219571
43;Hannover-Land I;3;208990
44;Celle – Uelzen;3;193799
45;Gifhorn – Peine;3;187425
46;Hameln-Pyrmont – Holzminden;3;208311
47;Hannover-Land II;3;222102
48;Hildesheim;3;256547
49;Salzgitter – Wolfenbüttel;3;227276
50;Braunschweig;3;179933
51;Helmstedt – Wolfsburg;3;228375
52;Goslar – Northeim – Osterode;3;188266
53;Göttingen;3;199550
54;Bremen I;11;247721
55;Bremen II – Bremerhaven;11;245268
56;Prignitz – Ostprignitz-Ruppin – Havelland I;14;191277
57;Uckermark – Barnim I;14;233118
58;Oberhavel – Havelland II;14;201922
59;Märkisch-Oderland – Barnim II;14;226487
